"","SamplingEventIdentifier","SurveyAreaIdentifier","RouteIdentifier","SiteCode","collection","survey_day","survey_month","survey_year","survey_week","ProtocolCode","CollectorNumber","EffortUnits1","EffortMeasurement1","EffortUnits2","EffortMeasurement2","EffortUnits3","EffortMeasurement3","EffortUnits4","EffortMeasurement4","EffortUnits5","EffortMeasurement5","EffortUnits6","EffortMeasurement6","EffortUnits7","EffortMeasurement7","EffortUnits8","EffortMeasurement8","EffortUnits9","EffortMeasurement9","EffortUnits10","EffortMeasurement10","EffortUnits11","EffortMeasurement11","EffortUnits12","EffortMeasurement12","EffortUnits14","EffortMeasurement14","TimeCollected","DistanceFromObserver","BearingInDegrees","species_id","CommonName","ScientificName","latitude","longitude","UTMZone","UTMEasting","UTMNorthing","bcr","StateProvince","TimeObservationsStarted","NoObservations","ObservationDescriptor","ObservationCount","ObservationDescriptor2","ObservationCount2","ObservationDescriptor3","ObservationCount3","ObservationDescriptor4","ObservationCount4","ObservationDescriptor5","ObservationCount5","ObservationDescriptor6","ObservationCount6","ObservationDescriptor7","ObservationCount7"
"11","QCOWLS-6162-6","65259","QC111",NA,"QCOWLS",22,4,2011,3,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","4","TemperatureCelciusEnd","5","Precipitation","0","CloudCover10","0","SnowCover10","0","SnowDepthMinCentimeters",NA,"SnowDepthMaxCentimeters",NA,"TrafficCount","0","NoiseLevel","1","DistanceFromStart","20800","Repeat",NA,"22.7",NA,NA,NA,NA,NA,45.343803,-75.334236,"18","473815","5021198",13,"ON","22.7","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"12","QCOWLS-6162-7","65260","QC111",NA,"QCOWLS",22,4,2011,3,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","4","TemperatureCelciusEnd","5","Precipitation","0","CloudCover10","0","SnowCover10","0","SnowDepthMinCentimeters",NA,"SnowDepthMaxCentimeters",NA,"TrafficCount","1","NoiseLevel","1","DistanceFromStart","25200","Repeat",NA,"23.0667",NA,NA,NA,NA,NA,45.355785,-75.333694,"18","473863","5022529",13,"ON","23.0667","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"13","QCOWLS-6162-8","65261","QC111",NA,"QCOWLS",22,4,2011,3,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","4","TemperatureCelciusEnd","5","Precipitation","0","CloudCover10","0","SnowCover10","0","SnowDepthMinCentimeters",NA,"SnowDepthMaxCentimeters",NA,"TrafficCount","2","NoiseLevel","2","DistanceFromStart","28700","Repeat",NA,"23.3667",NA,NA,NA,NA,NA,45.369972,-75.333328,"18","473898","5024105",13,"ON","23.3667","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"14","QCOWLS-6162-9","65262","QC111",NA,"QCOWLS",22,4,2011,3,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","4","TemperatureCelciusEnd","5","Precipitation","0","CloudCover10","0","SnowCover10","0","SnowDepthMinCentimeters",NA,"SnowDepthMaxCentimeters",NA,"TrafficCount","1","NoiseLevel","1","DistanceFromStart","33900","Repeat",NA,"23.7333",NA,NA,NA,NA,NA,45.367195,-75.343643,"18","473089","5023800",13,"ON","23.7333","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"15","QCOWLS-6162-10","65263","QC111",NA,"QCOWLS",22,4,2011,3,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","4","TemperatureCelciusEnd","5","Precipitation","0","CloudCover10","0","SnowCover10","0","SnowDepthMinCentimeters",NA,"SnowDepthMaxCentimeters",NA,"TrafficCount","0","NoiseLevel","1","DistanceFromStart","36700","Repeat",NA,"0",NA,NA,NA,NA,NA,45.372402,-75.359756,"18","471830","5024384",13,"ON","0","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"16","QCOWLS-6287-1","66180","QC041",NA,"QCOWLS",9,4,2011,2,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","8","TemperatureCelciusEnd","4","Precipitation","0","CloudCover10","3","SnowCover10","0","SnowDepthMinCentimeters",NA,"SnowDepthMaxCentimeters",NA,"TrafficCount","1","NoiseLevel","1","DistanceFromStart","0","Repeat",NA,"19.8333",NA,NA,NA,NA,NA,45.7771,-70.160332,"19","409793","5069937",14,"ME","19.8333","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"17","QCOWLS-6553-1","43598","QC016","QC016-01","QCOWLS",16,4,2011,2,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","-4","TemperatureCelciusEnd","-10","Precipitation","0","CloudCover10","0","SnowCover10","10","SnowDepthMinCentimeters","40","SnowDepthMaxCentimeters","120","TrafficCount","4","NoiseLevel","1","DistanceFromStart","0","Repeat",NA,"20",NA,NA,NA,NA,NA,52.865009,-67.111824,"19","627105","5858924",8,"NL","20","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"18","QCOWLS-7507-1","43598","QC016","QC016-01","QCOWLS",18,4,2012,3,"35","1031020","WindBeaufortStart","0","WindBeaufortEnd","1","TemperatureCelciusStart","-2","TemperatureCelciusEnd","-10","Precipitation","0","CloudCover10","0","SnowCover10","10","SnowDepthMinCentimeters","0.5","SnowDepthMaxCentimeters",NA,"TrafficCount","5","NoiseLevel","1","DistanceFromStart","2000","Repeat",NA,"20",NA,NA,NA,NA,NA,52.865009,-67.111824,"19","627105","5858924",8,"NL","20","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"19","QCOWLS-14175-1","95669","QC140",NA,"QCOWLS",19,4,2014,3,"35","1043409","WindBeaufortStart","0","WindBeaufortEnd","0","TemperatureCelciusStart","5","TemperatureCelciusEnd","1","Precipitation","0","CloudCover10","0","SnowCover10","0","SnowDepthMinCentimeters","0","SnowDepthMaxCentimeters","0","TrafficCount","6","NoiseLevel","2","DistanceFromStart","0","Repeat",NA,"20.4167",NA,NA,NA,NA,NA,45.521664,-74.523064,"18","537247","5041014",13,"ON","20.4167","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"20","QCOWLS-70749-6","8450509","QC135","QC135-06","QCOWLS",26,4,2017,4,"35","1030177","WindBeaufortStart","2","WindBeaufortEnd","1","TemperatureCelciusStart","14","TemperatureCelciusEnd","11","Precipitation","0","CloudCover10","10","SnowCover10","0","SnowDepthMinCentimeters","0","SnowDepthMaxCentimeters","0","TrafficCount","4","NoiseLevel","2","DistanceFromStart","12200","Repeat",NA,"22.1667",NA,NA,NA,NA,NA,45.337219,-76.068298,"18","416297","5020967",0,"ON","22.1667","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"21","QCOWLS-70749-7","8450510","QC135","QC135-07","QCOWLS",26,4,2017,4,"35","1030177","WindBeaufortStart","2","WindBeaufortEnd","1","TemperatureCelciusStart","14","TemperatureCelciusEnd","11","Precipitation","0","CloudCover10","10","SnowCover10","0","SnowDepthMinCentimeters","0","SnowDepthMaxCentimeters","0","TrafficCount","7","NoiseLevel","3","DistanceFromStart","13700","Repeat",NA,"22.55",NA,"NE",7590,"Barred Owl","Strix varia",45.33786,-76.08326,"18","415125","5021054",0,"ON","22.55",NA,"TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"22","QCOWLS-102092-6","8450509","QC135","QC135-06","QCOWLS",2,4,2018,1,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","-1","TemperatureCelciusEnd","-2","Precipitation","0","CloudCover10","4","SnowCover10","6","SnowDepthMinCentimeters","5","SnowDepthMaxCentimeters","10","TrafficCount","0","NoiseLevel","2","DistanceFromStart","12200","Repeat",NA,"21.85",NA,NA,NA,NA,NA,45.337219,-76.068298,"18","416297","5020967",0,"ON","21.85","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"23","QCOWLS-102092-7","8450510","QC135","QC135-07","QCOWLS",2,4,2018,1,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","1","TemperatureCelciusStart","-1","TemperatureCelciusEnd","-2","Precipitation","0","CloudCover10","4","SnowCover10","6","SnowDepthMinCentimeters","5","SnowDepthMaxCentimeters","10","TrafficCount","0","NoiseLevel","2","DistanceFromStart","13700","Repeat",NA,"22.1667",NA,NA,NA,NA,NA,45.33786,-76.08326,"18","415125","5021054",0,"ON","22.1667","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"24","QCOWLS-115035-6","8450509","QC135","QC135-06","QCOWLS",17,4,2019,3,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","3","TemperatureCelciusStart","6","TemperatureCelciusEnd","5","Precipitation","0","CloudCover10","0","SnowCover10","6","SnowDepthMinCentimeters","0","SnowDepthMaxCentimeters","30","TrafficCount","3","NoiseLevel","1","DistanceFromStart","12200","Repeat",NA,"22.1667",NA,NA,NA,NA,NA,45.337219,-76.068298,"18","416297","5020967",0,"ON","22.1667","NoObs","TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
"25","QCOWLS-115035-7","8450510","QC135","QC135-07","QCOWLS",17,4,2019,3,"35","1030177","WindBeaufortStart","1","WindBeaufortEnd","3","TemperatureCelciusStart","6","TemperatureCelciusEnd","5","Precipitation","0","CloudCover10","0","SnowCover10","6","SnowDepthMinCentimeters","0","SnowDepthMaxCentimeters","30","TrafficCount","5","NoiseLevel","3","DistanceFromStart","13700","Repeat",NA,"22.5167",NA,NA,41682,"owl sp.","Strigiformes sp.",45.33786,-76.08326,"18","415125","5021054",0,"ON","22.5167",NA,"TotalCount",NA,"1re min.",NA,"2e min.",NA,"Après NYTE",NA,"1e CRAY",NA,"2e CRAY",NA,"3e CRAY",NA
